Age,P,r,f,CashFlow
42,200000.0,0.10913964178238945,0.03,-6433.163129136614
43,215394.76522734127,0.044037507990072194,0.03,-6433.163129136614
44,218447.05079292343,0.04088698754109153,0.03,-6433.163129136614
45,220945.52950794526,0.06738261095155039,0.03,-6433.163129136614
46,229400.25303512684,0.09802700496149343,0.03,-6433.163129136614
47,245454.50964843246,0.0645519877052536,0.03,-6433.163129136614
48,254865.9230083205,0.026627736861246826,0.03,-6433.163129136614
49,255219.26261194824,0.03910210758417066,0.03,-6433.163129136614
50,258765.71054701673,0.10578409161816561,0.03,-6433.163129136614
51,279705.84305002546,-0.004566110070204915,0.03,-6433.163129136614
52,271995.51225424296,0.07582007390741219,0.03,-6433.163129136614
53,286185.0689667075,0.04341082535428967,0.03,-6433.163129136614
54,292175.43588549,-0.0983721593847075,0.03,-6433.163129136614
55,257000.34420912957,0.0347252934207252,0.03,-6433.163129136614
56,259491.59344188235,0.014451331483297209,0.03,-6433.163129136614
57,256808.42934670337,0.04453534586827796,0.03,-6433.163129136614
58,261812.3184404114,0.08844859681438945,0.03,-6433.163129136614
59,278536.0875060513,0.03139737725579716,0.03,-6433.163129136614
60,280848.2269956959,0.12612928286758443,0.03,-6433.163129136614
61,309838.249332159,0.06799215822840264,0.03,-6433.163129136614
62,324471.6574768258,0.05814609685280021,0.03,-6433.163129136614
63,336905.2547693253,0.09211791652486097,0.03,-6433.163129136614
64,361507.1017758164,-0.0035494546070989254,0.03,-6433.163129136614
65,353790.78559878265,0.0172274126624972,0.03,-6433.163129136614
66,353452.52232934535,0.06213116278263841,0.03,-6433.163129136614
67,368979.7754009874,0.046376745946824574,0.03,-6433.163129136614
68,379658.6935751388,0.023715964097799323,0.03,-6433.163129136614
69,382229.50239224755,0.040120848973250925,0.03,-6433.163129136614
70,391131.71140171116,0.08720557208373132,0.03,-6433.163129136614
71,418807.41292544967,0.034528671890035466,0.03,-6433.163129136614
72,426835.1135423305,0.08031528997532687,0.03,-6433.163129136614
73,454683.33632899774,-0.05640361881494026,0.03,-6433.163129136614
74,422604.3876160551,0.01741810002033987,0.03,-6433.163129136614
75,423532.1899794494,-0.0255529244087869,0.03,-6433.163129136614
76,406276.54081507993,0.04394340135082408,0.03,-6433.163129136614
77,417696.5507784048,0.05344771624418193,0.03,-6433.163129136614
78,433588.3143714459,0.06007998783488661,0.03,-6433.163129136614
79,453205.13189509476,0.026911553735025986,0.03,-6433.163129136614
80,458968.4230259425,0.08765044648691743,0.03,-6433.163129136614
81,492764.04709842615,0.03855360531324776,0.03,-6433.163129136614
82,505328.7145536809,0.04777831711552032,0.03,-6433.163129136614
83,523039.30699606834,0.032696518541540875,0.03,-6433.163129136614
84,533707.7082660834,0.020047875774601112,0.03,-6433.163129136614
85,537974.2509722123,0.00936447230942058,0.03,-6433.163129136614
86,536578.9328194862,7.06043523100729E-4,0.03,-6433.163129136614
87,530524.6177704991,0.03485946938010629,0.03,-6433.163129136614
88,542585.2613099258,0.010174303115862935,0.03,-6433.163129136614
89,541672.525095556,-0.01803537351302914,0.03,-6433.163129136614
90,525470.0956545754,0.06811806896980672,0.03,-6433.163129136614
91,554830.940742808,0.06868020938872055,0.03,-6433.163129136614
92,586503.6827992282,0.05753999031693398,0.03,-6433.163129136614
93,613817.9358992053,-1.099622492427773E-4,0.03,-6433.163129136614
94,607317.2759692116,0.030292453939484505,0.03,-6433.163129136614
95,619281.2434490256,0.04217791404230386,0.03,-6433.163129136614
96,638968.071374093,0.023040090497415063,0.03,-6433.163129136614
97,647256.7904343742,0.0749201420977505,0.03,-6433.163129136614
98,689316.1980183149,0.05391190444406402,0.03,-6433.163129136614
99,720045.3838884872,0.04323992179753823,0.03,-6433.163129136614
100,744746.9268493672,0.05078287440193989,0.03,-6433.163129136614
101,776134.1533676528,0.04623750630898415,0.03,-6433.163129136614
102,805587.4980514711,0.07203951090690575,0.03,-6433.163129136614
103,857188.4642746804,0.11282154435346088,0.03,-6433.163129136614
104,947464.6274869846,0.03678915960099864,0.03,-6433.163129136614
105,975887.8917547674,0.06436496889862407,0.03,-6433.163129136614
