age,min_principal,max_principal,iterations_broke,cumm_prob_broke
30,0,0,0,0.0
31,10000,10000,0,0.0
32,19017,21816,0,0.0
33,28081,34462,0,0.0
34,37077,48064,0,0.0
35,46086,62558,0,0.0
36,55163,78005,0,0.0
37,64250,94452,0,0.0
38,73312,112007,0,0.0
39,82546,130400,0,0.0
40,91723,150116,0,0.0
41,101074,170970,0,0.0
42,110579,192782,0,0.0
43,120296,215813,0,0.0
44,129900,240252,0,0.0
45,139570,265842,0,0.0
46,149357,293094,0,0.0
47,159304,321695,0,0.0
48,169768,351384,0,0.0
49,179769,382920,0,0.0
50,189734,416408,0,0.0
51,200009,451442,0,0.0
52,210467,488378,0,0.0
53,220778,527317,0,0.0
54,231271,568285,0,0.0
55,241781,611448,0,0.0
56,253014,656135,0,0.0
57,264294,703272,0,0.0
58,275782,752498,0,0.0
59,286403,805479,0,0.0
60,296963,860507,0,0.0
61,307875,918151,0,0.0
62,284619,945549,0,0.0
63,261620,971230,0,0.0
64,238005,998394,0,0.0
65,213798,1026436,0,0.0
66,189239,1054624,0,0.0
67,163328,1084963,0,0.0
68,137598,1114467,0,0.0
69,109928,1146730,0,0.0
70,82259,1179398,1,2.0E-5
71,53843,1212072,0,2.0E-5
72,24352,1246495,8,1.8E-4
73,-5012,1280588,11,4.0E-4
74,-37277,1318458,46,0.00132
75,-70424,1357344,63,0.00258
76,-104203,1396161,88,0.00434
77,-140318,1438581,140,0.00714
78,-176771,1481118,177,0.01068
79,-215738,1526399,215,0.01498
80,-254579,1571762,318,0.02134
81,-295378,1620433,359,0.02852
82,-337866,1669809,452,0.03756
83,-383009,1722060,461,0.04678
84,-428633,1775749,504,0.05686
85,-478013,1834213,583,0.06852
86,-526573,1891063,594,0.0804
87,-578867,1952431,678,0.09396
88,-634028,2016641,631,0.10658
89,-691026,2083381,671,0.12
90,-750771,2152614,651,0.13302
91,-814356,2226332,665,0.14632
92,-879172,2301789,640,0.15912
93,-947662,2381781,673,0.17258
94,-1016341,2461838,703,0.18664
95,-1088131,2545014,648,0.1996
96,-1166398,2637736,617,0.21194
97,-1243201,2727681,645,0.22484
98,-1327278,2826797,613,0.2371
99,-1413103,2927844,611,0.24932
100,-1500680,3029796,572,0.26076
101,-1593577,3139120,554,0.27184
102,-1693813,3256799,540,0.28264
103,-1794802,3375099,530,0.29324
104,-1907039,3505839,509,0.30342
105,-2019042,3636717,34829,1.0
