,,,,S&P,UST,,70/30,50/50,30/70,,,,
,Annualized Std Deviation,,,0.143571492,0.004518553,,,,,,,,
,Annualized Monthly Return,,,0.105045115,0.041845825,,,,,,,,
,Average Monthly Return,,,0.008358586,0.003422006,,,,,,,,
,,,,,,,,,,,,,
,S&P 500,,,UST 10yr,,,,,,,,,
,,Monthly,,UST ,Monthly,,,,,,,,
Date,Adj Close,Return,,Rate,Return,,,,,,,,
1/1/1993,26.836645,,,0.066,,,,,,,,,
2/1/1993,27.122917,0.010667205,,0.0626,0.005072717,,,,,,,,
3/1/1993,27.600117,0.017593978,,0.0598,0.004851749,,,,,,,,
4/1/1993,27.020882,-0.020986686,,0.0597,0.004843848,,,,,,,,
5/1/1993,27.74962,0.026969438,,0.0604,0.004899145,,,,,,,,
6/1/1993,27.653776,-0.003453885,,0.0596,0.004835945,,,,,,,,
7/1/1993,27.714542,0.002197385,,0.0581,0.004717329,,,,,,,,
8/1/1993,28.776781,0.038327857,,0.0568,0.004614403,,,,,,,,
9/1/1993,28.39053,-0.013422314,,0.0536,0.004360552,,,,,,,,
10/1/1993,29.13096,0.026080175,,0.0533,0.004336718,,,,,,,,
11/1/1993,28.820038,-0.010673249,,0.0572,0.004646085,,,,,,,,
12/1/1993,28.975498,0.005394164,,0.0577,0.004685672,,,,,,,,
1/1/1994,30.191328,0.041960625,,0.0575,0.004669839,,,,,,,,
2/1/1994,29.310825,-0.029164103,,0.0597,0.004843848,,,,,,,,
3/1/1994,27.921577,-0.047397096,,0.0648,0.005245961,,,,,,,,
4/1/1994,28.397522,0.017045778,,0.0697,0.005630646,,,,,,,,
5/1/1994,28.850195,0.015940581,,0.0718,0.005795016,,,,,,,,
6/1/1994,28.003927,-0.029333181,,0.071,0.005732434,,,,,,,,
7/1/1994,29.100325,0.03915158,,0.073,0.00588881,,,,,,,,
8/1/1994,30.209669,0.038121361,,0.0724,0.005841925,,,,,,,,
9/1/1994,29.268692,-0.031148206,,0.0746,0.006013719,,,,,,,,
10/1/1994,30.283772,0.034681427,,0.0774,0.006231899,,,,,,,,
11/1/1994,29.078009,-0.039815483,,0.0795,0.006395193,,,,,,,,
12/1/1994,29.058119,-0.000684022,,0.0781,0.006286363,,,,,,,,
1/1/1995,30.274122,0.041847272,,0.0778,0.006263025,,,,,,,,
2/1/1995,31.509626,0.040810564,,0.0747,0.00602152,,,,,,,,
3/1/1995,32.2127,0.022312991,,0.072,0.005810655,,,,,,,,
4/1/1995,33.346474,0.035196491,,0.0706,0.005701126,,,,,,,,
5/1/1995,34.669445,0.03967349,,0.0663,0.005363894,,,,,,,,
6/1/1995,35.164268,0.014272597,,0.0617,0.00500175,,,,,,,,
7/1/1995,36.508495,0.038227072,,0.0628,0.00508848,,,,,,,,
8/1/1995,36.671024,0.004451813,,0.0649,0.005253828,,,,,,,,
9/1/1995,38.022053,0.036841867,,0.062,0.005025412,,,,,,,,
10/1/1995,38.112713,0.002384406,,0.0604,0.004899145,,,,,,,,
11/1/1995,39.807938,0.044479253,,0.0593,0.004812235,,,,,,,,
12/1/1995,40.18578,0.009491625,,0.0571,0.004638166,,,,,,,,
1/1/1996,41.872795,0.041980397,,0.0565,0.004590635,,,,,,,,
2/1/1996,42.006424,0.003191308,,0.0581,0.004717329,,,,,,,,
3/1/1996,42.540756,0.012720245,,0.0627,0.005080599,,,,,,,,
4/1/1996,43.194134,0.015358871,,0.0651,0.00526956,,,,,,,,
5/1/1996,44.17466,0.022700444,,0.0674,0.005450281,,,,,,,,
6/1/1996,44.329422,0.003503411,,0.0691,0.005583628,,,,,,,,
7/1/1996,42.561783,-0.039875074,,0.0687,0.00555227,,,,,,,,
8/1/1996,43.381496,0.019259367,,0.0664,0.005371751,,,,,,,,
9/1/1996,45.570816,0.050466678,,0.0683,0.005520901,,,,,,,,
10/1/1996,47.286259,0.037643456,,0.0653,0.005285289,,,,,,,,
11/1/1996,50.738392,0.073004993,,0.062,0.005025412,,,,,,,,
12/1/1996,49.288696,-0.028571974,,0.063,0.005104241,,,,,,,,
1/1/1997,52.591202,0.067003315,,0.0658,0.0053246,,,,,,,,
2/1/1997,53.094276,0.009565744,,0.0642,0.005198745,,,,,,,,
3/1/1997,50.558029,-0.047768746,,0.0669,0.005411024,,,,,,,,
4/1/1997,53.928867,0.066672655,,0.0689,0.005567951,,,,,,,,
5/1/1997,57.337536,0.063206761,,0.0671,0.005426729,,,,,,,,
6/1/1997,59.462723,0.037064498,,0.0649,0.005253828,,,,,,,,
7/1/1997,64.425888,0.08346683,,0.0622,0.005041183,,,,,,,,
8/1/1997,61.088413,-0.051803322,,0.063,0.005104241,,,,,,,,
9/1/1997,63.792194,0.044260128,,0.0621,0.005033298,,,,,,,,
10/1/1997,62.457378,-0.020924441,,0.0603,0.004891247,,,,,,,,
11/1/1997,64.874229,0.038696005,,0.0588,0.004772703,,,,,,,,
12/1/1997,65.849442,0.015032364,,0.0581,0.004717329,,,,,,,,
1/1/1998,66.962921,0.016909468,,0.0554,0.00450343,,,,,,,,
2/1/1998,71.603035,0.069293781,,0.0557,0.004527222,,,,,,,,
3/1/1998,74.880943,0.045778898,,0.0565,0.004590635,,,,,,,,
4/1/1998,76.056671,0.015701298,,0.0564,0.00458271,,,,,,,,
